,Destination,Lat,Lon,AverageFeltTemperature,HoursOfSun,Percentageofchanceofrain,WeatherTypeScore,WeatherScore,DestinationID
0,Mont Saint Michel,48.6359541,-1.511459954959514,13.95,14.76,0.08,6.43,39.21,0
1,St Malo,48.649518,-2.0260409,13.05,14.76,0.14,6.29,41.31,1
2,Bayeux,49.2764624,-0.7024738,12.67,14.83,0.15,6.14,41.07,2
3,Le Havre,49.4938975,0.1079732,12.4,14.85,0.12,6.86,40.11,3
4,Rouen,49.4404591,1.0939658,13.76,14.84,0.18,6.29,43.74,4
5,Paris,48.8588897,2.3200410217200766,15.35,14.78,0.2,7.0,46.92,5
6,Amiens,49.8941708,2.2956951,13.25,14.89,0.15,6.57,42.14,6
7,Lille,50.6365654,3.0635282,13.41,14.97,0.34,6.71,52.24,7
8,Strasbourg,48.584614,7.7507127,14.51,14.75,0.56,5.57,62.62,8
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,11.22,14.72,0.56,5.0,58.86,9
10,Colmar,48.0777517,7.3579641,14.66,14.71,0.59,5.43,64.08,10
11,Eguisheim,48.0447968,7.3079618,14.63,14.7,0.59,5.29,64.18,11
12,Besancon,47.2380222,6.0243622,14.33,14.63,0.55,5.29,61.67,12
13,Dijon,47.3215806,5.0414701,14.13,14.63,0.5,5.71,59.4,13
14,Annecy,45.8992348,6.1288847,14.26,14.51,0.68,5.29,68.06,14
15,Grenoble,45.1875602,5.7357819,16.06,14.44,0.69,5.0,69.93,15
16,Lyon,45.7578137,4.8320114,15.95,14.49,0.5,6.0,61.23,16
17,Gorges du Verdon,43.7496562,6.3285616,13.19,14.32,0.57,4.86,60.95,17
18,Bormes les Mimosas,43.1572172,6.329253867921363,17.31,14.28,0.22,6.86,49.3,18
19,Cassis,43.2140359,5.5396318,18.13,14.28,0.1,7.0,44.27,19
20,Marseille,43.2961743,5.3699525,18.19,14.29,0.09,7.57,44.4,20
21,Aix en Provence,43.5298424,5.4474738,18.95,14.31,0.17,7.0,48.68,21
22,Avignon,43.9492493,4.8059012,19.17,14.34,0.21,6.86,50.8,22
23,Uzes,44.0121279,4.4196718,18.5,14.35,0.21,7.0,50.27,23
24,Nimes,43.8374249,4.3600687,19.18,14.33,0.17,7.0,48.94,24
25,Aigues Mortes,43.5658225,4.1912837,18.5,14.31,0.12,7.29,46.16,25
26,Saintes Maries de la mer,43.4522771,4.4287172,18.03,14.3,0.09,7.14,43.98,26
27,Collioure,42.52505,3.0831554,18.3,14.23,0.22,7.0,50.31,27
28,Carcassonne,43.2130358,2.3491069,16.88,14.28,0.41,6.57,58.09,28
29,Ariege,42.9455368,1.4065544156065486,10.15,14.26,0.57,5.0,57.84,29
30,Toulouse,43.6044622,1.4442469,16.19,14.31,0.45,6.0,58.93,30
31,Montauban,44.0175835,1.3549991,16.81,14.35,0.37,6.0,55.58,31
32,Biarritz,43.4832523,-1.5592776,14.78,14.3,0.2,5.71,44.8,32
33,Bayonne,43.4933379,-1.475099,15.15,14.3,0.21,5.71,45.46,33
34,La Rochelle,46.1591126,-1.1520434,15.29,14.53,0.07,6.57,39.68,34
