,name,url,Rating,description,bbox,Destination,Lat,Lon
0,Hotel Canal Aigues Mortes,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=5438604_88560857_0_2_0&highlighted_blocks=5438604_88560857_0_2_0&matching_block_id=5438604_88560857_0_2_0&sr_pri_blocks=5438604_88560857_0_2_0__17440&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Canal Aigues Mortes\xa0! "", 'L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue sur le canal depuis sa terrasse panoramique et sa piscine. Cet établissement propose des chambres climatisées avec une connexion Wi-Fi gratuite. Un parking gratuit est disponible. Un parking couvert est accessible moyennant des frais supplémentaires ou gratuitement pour les motos.', 'Toutes les chambres de cet hôtel 3 étoiles sont insonorisées. Elles comprennent une télévision à écran plat avec des chaînes nationales et internationales.', 'Pendant les mois les plus chauds, vous dégusterez le petit-déjeuner buffet sur la terrasse. En été, vous aurez également la possibilité de prendre des collations ou des repas légers au bord du canal.', 'Un service de location de vélos est assuré sur place. L’établissement compte par ailleurs une salle de séminaire pour les réunions.', ""L’hôtel Canal Aigues Mortes est placé à 10 minutes de route de la plage de Grau-du-Roi et à 20 minutes en voiture de l’aéroport de Montpellier-Méditerranée. La gare d'Aigues-Mortes est à 4 minutes de marche. Montpellier, Arles et Nîmes peuvent être atteints à moins de 45 minutes de route. ""]","4.16998185644106,43.5550221035115,4.21966753473326,43.5909529366577",Aigues Mortes,43.572987520084595,4.19482469558716
1,La Villa Mazarin,https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=5352101_99734949_0_2_0&highlighted_blocks=5352101_99734949_0_2_0&matching_block_id=5352101_99734949_0_2_0&sr_pri_blocks=5352101_99734949_0_2_0__31880&from=searchresults#hotelTmpl,"9,1","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Villa Mazarin\xa0! "", ""La Villa Mazarin est construite dans un bâtiment datant du XVème siècle situé dans la ville fortifiée d'Aigues-Mortes et propose une terrasse ainsi qu'un bar. Vous bénéficierez gracieusement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement."", 'Les chambres climatisées possèdent le chauffage, une télévision par satellite, un téléphone, un réfrigérateur et du mobilier de style provençal du XVIIème siècle.', ""Le Salon Mazarin est le restaurant de l'hôtel où vous dégusterez des spécialités culinaires françaises ou une sélection de repas légers et de collations. Le salon s'ouvre sur la cour et sur une terrasse bien exposée."", ""Montpellier est à 26 km et Nîmes à 32 km. L'aéroport le plus proche est celui de Montpellier-Méditerranée situé à 19 km. ""]","4.16691241748164,43.5470212030719,4.21659149620131,43.5829520362181",Aigues Mortes,43.564986619645,4.191751956841475
2,Maison des Croisades,https://www.booking.com/hotel/fr/des-croisades.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=223754101_239982353_0_2_0&highlighted_blocks=223754101_239982353_0_2_0&matching_block_id=223754101_239982353_0_2_0&sr_pri_blocks=223754101_239982353_0_2_0__21800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison des Croisades\xa0! "", ""Située à Aigues-Mortes, la Maison des Croisades propose un service de location de vélos et un jardin. Il dispose d'une connexion Wi-Fi gratuite et d'une terrasse. Vous pourrez profiter d'une vue sur le canal et le jardin. La plage du Grau-du-Roi se trouve à 10 minutes en voiture."", ""Toutes les chambres de la Maison des Croisades sont équipées d'une télévision à écran plat, de la climatisation et d'une armoire."", 'La Maison des Croisades sert un petit-déjeuner buffet.', ""La Maison des Croisades se trouve à 33 km de Montpellier et à 44 km de Nîmes. L'aéroport de Montpellier-Méditerranée est à 24 km. ""]","4.1634570066567,43.5510319834269,4.21313939334322,43.5869628165731",Aigues Mortes,43.5689974,4.18829819999996
3,Hôtel Saint Louis,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=7675805_334433274_0_2_0&highlighted_blocks=7675805_334433274_0_2_0&matching_block_id=7675805_334433274_0_2_0&sr_pri_blocks=7675805_334433274_0_2_0__24240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,4","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Saint Louis\xa0! "", ""Situé dans le cœur historique d'Aigues-Mortes, à 200 mètres de la Tour de Constance, l'Hôtel Saint Louis est un hôtel climatisé doté d'un centre de bien-être et d'un restaurant. Une connexion Wi-Fi et des places de stationnement publiques sont disponibles gratuitement sur place."", ""Affichant une décoration contemporaine inspirée de la région, toutes les chambres sont équipées d'une télévision à écran plat, d'un minibar et d'un téléphone. Toutes les chambres comprennent une salle de bains privative. En été, vous pourrez prendre un verre dans le patio ou sur la terrasse bien exposée. Le restaurant sur place présente une décoration de style baroque et propose une cuisine camarguaise moderne préparée avec des produits locaux et des sièges en plein air."", ""L'établissement dispose d'un centre de bien-être comprenant un sauna-hammam accessible gratuitement sur réservation. Des massages sont également dispensés sur demande."", ""L'Hôtel Saint Louis se trouve à 43 km de Nîmes et à 49 km d'Arles. L'aéroport de Montpellier-Méditerranée est à 26 km. ""]","4.16450314127171,43.549254254998,4.21418406165874,43.5851850881442",Aigues Mortes,43.567219671571095,4.189343601465225
4,Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel,https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=89774_195555195_0_2_0&highlighted_blocks=89774_195555195_0_2_0&matching_block_id=89774_195555195_0_2_0&sr_pri_blocks=89774_195555195_0_2_0__12196&from=searchresults#hotelTmpl,"6,9","['Featuring free WiFi and a seasonal outdoor swimming pool, Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel is located in Aigues-Mortes, a 15-minute drive from the Carmague Natural Regional Park. The nearest beach is a 15-minute drive away. Free parking is available on site.', 'Certain rooms include views of the pool or garden. Each room comes with a flat-screen TV and a private bathroom. Some rooms also feature a private terrace.', 'A buffet breakfast is available for an extra charge.', 'Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel also provides meeting facilities.', 'Nîmes is 40 km from Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel, while Arles is 45 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 26 km from the property. ']","4.17297379558578,43.5584304713006,4.22266228610978,43.5943613044468",Aigues Mortes,43.5763958878737,4.19781804084778
5,Résidence Odalys Fleur de Sel,https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=333205505_325938348_0_0_0&highlighted_blocks=333205505_325938348_0_0_0&matching_block_id=333205505_325938348_0_0_0&sr_pri_blocks=333205505_325938348_0_0_0__20460&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence Odalys Fleur de Sel\xa0! "", ""Situé à Aigues-Mortes, à 5 minutes à pied du centre-ville historique, l'établissement Résidence Odalys Fleur de Sel dispose d'une piscine extérieure chauffée ouverte en saison. Vous bénéficierez gratuitement d'une connexion Wi-Fi."", ""Répartis en petits duplex, tous les appartements comportent une salle de bains privative, un salon muni d'une télévision à écran plat et une kitchenette entièrement équipée. Certains comprennent également une terrasse ou un balcon."", ""La Résidence Odalys Fleur de Sel est implantée à 25 km de Montpellier. L'aéroport de Montpellier - Méditerranée se trouve, quant à lui, à 18 km. Vous pourrez profiter gratuitement d'un parking extérieur. ""]","4.15440270440472,43.5561285834269,4.20408929559528,43.5920594165731",Aigues Mortes,43.574094,4.179246
6,Résidence Odalys Le Mas des Flamants,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=36504907_199497634_0_0_0&highlighted_blocks=36504907_199497634_0_0_0&matching_block_id=36504907_199497634_0_0_0&sr_pri_blocks=36504907_199497634_0_0_0__20240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0","[""Située à l'extérieur des fortifications d'Aigues-Mortes, sur les rives du Vidourle, la Résidence Odalys Le Mas des Flamants possède une piscine et des pataugeoires. Vous pourrez également vous rendre à la plage du Grau-du-Roi, à 7 km."", 'Occupant de petites maisons mitoyennes, les appartements de la Résidence Odalys Le Mas des Flamants comportent une terrasse ou un jardin privés. Une télévision et une connexion Wi-Fi sont disponibles moyennant des frais supplémentaires.', ""Vous pourrez préparer vos repas dans la kitchenette de votre hébergement et les déguster dans le petit coin repas. Les kitchenettes sont équipées de plaques de cuisson, d'un micro-ondes et d'un lave-vaisselle."", 'Une place de stationnement gratuite est disponible pour chaque appartement, et une laverie est également à votre disposition sur place. La Résidence Odalys Le Mas des Flamants est à 5 minutes de marche du centre-ville, et vous pourrez vous détendre sur la plage de Port-Camargue, située à 7 km. ']","4.15577869023378,43.5558289365353,4.20546503419632,43.5917597696815",Aigues Mortes,43.5737943531084,4.18062186221505
7,le dit vin secret,https://www.booking.com/hotel/fr/le-dit-vin-secret.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=503139702_171699114_2_1_0&highlighted_blocks=503139702_171699114_2_1_0&matching_block_id=503139702_171699114_2_1_0&sr_pri_blocks=503139702_171699114_2_1_0__17200&from=searchresults#hotelTmpl,"9,0","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement le dit vin secret\xa0! "", 'Situé à Aigues-Mortes, à 44 km de Nîmes, le dit vin secret propose un restaurant et une connexion Wi-Fi gratuite.', ""Tous les logements disposent de la climatisation et d'une télévision à écran plat. Leur salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits."", 'Ce Bed & Breakfast sert un petit-déjeuner continental tous les matins.', ""Vous séjournerez à 34 km de Montpellier et à 32 km des Saintes-Maries-de-la-Mer. L'aéroport de Montpellier-Méditerranée, le plus proche, est à 26 km. ""]","4.16427272565645,43.5488035834269,4.21395327434355,43.5847344165731",Aigues Mortes,43.566769,4.189113
8,Hôtel Le Médiéval,https://www.booking.com/hotel/fr/le-medieval.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=25855909_326752415_0_0_0&highlighted_blocks=25855909_326752415_0_0_0&matching_block_id=25855909_326752415_0_0_0&sr_pri_blocks=25855909_326752415_0_0_0__17400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Médiéval\xa0! "", ""L'Hôtel Le Médiéval est situé sur les rives du canal d'Aigues-Mortes, à 30 km de Montpellier. Il propose des chambres pourvues d'une salle de bains privative, d'un parking gratuit et d'une piscine extérieure."", ""L'Hôtel Le Médiéval propose chaque jour un petit-déjeuner buffet continental qui peut être dégusté sur la terrasse quand le temps le permet. Une connexion Wi-Fi est disponible gratuitement dans les parties communes."", 'Un parking privé gratuit est disponible sur place. Une promenade de 2 minutes vous mènera aux remparts médiévaux. ']","4.16881931311844,43.553900836592,4.21850406636542,43.5898316697382",Aigues Mortes,43.5718662531651,4.19366168974193
9,Mas de la Montille,https://www.booking.com/hotel/fr/mas-de-la-montille.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=8953dc5a8c5d86bde704f49854b677ce&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cda064694a3801d0&srepoch=1651501011&all_sr_blocks=40078901_310847868_0_0_0&highlighted_blocks=40078901_310847868_0_0_0&matching_block_id=40078901_310847868_0_0_0&sr_pri_blocks=40078901_310847868_0_0_0__27400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Mas de la Montille\xa0! "", ""Le Mas de la Montille est situé à Aigues-Mortes, à 10 km de la plage de l'Espiguette. Il possède une piscine ouverte en saison et un jardin avec verger. Vous pourrez également vous détendre dans le bain à remous."", ""Toutes les chambres climatisées de la maison d'hôtes offrent une vue sur le jardin et sont décorées dans un style élégant. Certaines disposent d'un mobilier oriental et d'un coin salon."", ""Un petit-déjeuner composé de produits bio est disponible et peut être servi dans votre chambre. Des repas faits maison, accompagnés d'un verre commandé au bar, peuvent être préparés sur demande."", ""Le jardin du Mas de la Montille abrite également une aire de jeux pour enfants avec un trampoline. Vous pourrez également aller voir l'âne et la poule."", ""Le Mas de la Montille se trouve à 15 km du complexe de golf de La Grande Motte ainsi qu'à 20 km de Montpellier et de sa gare. ""]","4.21436256292741,43.5658994464611,4.26405721780379,43.6018302796073",Aigues Mortes,43.5838648630342,4.239209890365601
